,COUNTRY,YEAR,AVG,FAVG,MAVG,GBIRTHRT,GDEATHRT,GROW,GDP
0,Albania,2001,3060169.0,,,17.4,5.2,-6302.0,4385.8
1,Albania,2002,3051006.0,1529372.0,1521634.0,13.9,5.3,-12025.0,4612.4
2,Albania,2003,3039612.0,1523331.0,1516282.0,14.9,5.9,-10762.0,4928.6
3,Albania,2004,3026933.0,1516613.0,1510320.0,13.5,5.9,-14597.0,5777.8
4,Albania,2005,3011482.0,1508357.0,1503125.0,12.9,5.7,-16305.0,6475.3
5,Albania,2006,2992542.0,1498204.0,1494338.0,12.0,5.6,-21574.0,7090.8
6,Albania,2007,2970011.0,1486399.0,1483612.0,11.6,4.9,-23489.0,7809.8
7,Albania,2008,2947311.0,1474647.0,1472664.0,11.3,5.4,-21911.0,8800.3
8,Albania,2009,2927515.0,1463980.0,1463535.0,11.7,7.0,-17681.0,8662.2
9,Albania,2010,2913018.0,1455358.0,1457660.0,11.7,6.9,-11313.0,8996.6
10,Albania,2011,2905185.0,1447963.0,1457222.0,11.8,6.9,-4353.0,9268.3
11,Albania,2012,2900389.0,1440714.0,1459676.0,12.2,7.2,-5238.0,9585.8
12,Albania,2013,2895082.0,1434010.0,1461072.0,12.3,7.1,-5376.0,9625.4
13,Albania,2014,2889095.0,1427712.0,1461383.0,12.4,7.1,-6598.0,9968.6
14,Albania,2015,2880694.0,1420869.0,1459825.0,11.4,7.8,-10204.0,10264.1
15,Albania,2016,2876092.0,1420096.0,1455996.0,11.0,7.4,999.0,10719.9
16,Albania,2017,2873458.0,1427383.0,1446075.0,10.7,7.7,-6267.0,11559.0
17,Albania,2018,2866376.0,1432274.0,1434102.0,10.1,7.6,-7897.0,12828.1
18,Albania,2019,2854191.0,1429088.0,1425104.0,10.0,7.7,-16472.0,13754.2
19,Albania,2020,2837848.0,1422551.0,1415298.0,9.9,9.7,-16214.0,13310.4
20,Albania,2021,2811667.0,,,9.7,10.9,-36149.0,15157.4
21,Albania,2022,2777689.0,,,8.9,8.6,-31807.0,17939.7
22,Austria,2001,8042293.0,4148374.0,3893919.0,9.4,9.3,42694.0,220525.1
23,Austria,2002,8081957.0,4163790.0,3918167.0,9.7,9.4,36633.0,226735.2
24,Austria,2003,8121423.0,4180324.0,3941100.0,9.5,9.5,42300.0,231862.5
25,Austria,2004,8171966.0,4203233.0,3968733.0,9.7,9.1,58786.0,242348.3
26,Austria,2005,8227829.0,4228224.0,3999605.0,9.5,9.1,52939.0,254075.0
27,Austria,2006,8268641.0,4246438.0,4022203.0,9.4,9.0,28686.0,267824.5
28,Austria,2007,8295487.0,4259211.0,4036276.0,9.2,9.0,25005.0,283978.0
29,Austria,2008,8321496.0,4271784.0,4049712.0,9.3,9.0,27014.0,293761.9
