,COUNTRY,YEAR,DEATH,FAVG,FDEATH,FLBIRTH,LBIRTH,MDEATH,MLBIRTH
0,Albania,2001,15813.0,,6653.0,25219.0,53205.0,9160.0,27986.0
1,Albania,2002,16248.0,1529372.0,7125.0,20158.0,42527.0,9123.0,22369.0
2,Albania,2003,17967.0,1523331.0,7929.0,21479.0,45313.0,10038.0,23834.0
3,Albania,2004,17749.0,1516613.0,7800.0,19224.0,40989.0,9949.0,21765.0
4,Albania,2005,17124.0,1508357.0,7598.0,18282.0,38898.0,9526.0,20616.0
5,Albania,2006,16682.0,1498204.0,7600.0,16761.0,35891.0,9082.0,19130.0
6,Albania,2007,14528.0,1486399.0,6448.0,16121.0,34448.0,8080.0,18327.0
7,Albania,2008,15926.0,1474647.0,7015.0,15820.0,33445.0,8911.0,17625.0
8,Albania,2009,20428.0,1463980.0,9173.0,16034.0,34114.0,11255.0,18080.0
9,Albania,2010,20107.0,1455358.0,9201.0,15998.0,34061.0,10906.0,18063.0
10,Albania,2011,20012.0,1447963.0,9158.0,16436.0,34285.0,10854.0,17849.0
11,Albania,2012,20870.0,1440714.0,9700.0,16995.0,35473.0,11170.0,18478.0
12,Albania,2013,20442.0,1434010.0,9452.0,17089.0,35750.0,10990.0,18661.0
13,Albania,2014,20656.0,1427712.0,9545.0,17077.0,35760.0,11111.0,18683.0
14,Albania,2015,22418.0,1420869.0,10581.0,15612.0,32715.0,11837.0,17103.0
15,Albania,2016,21388.0,1420096.0,10105.0,15332.0,31733.0,11283.0,16401.0
16,Albania,2017,22232.0,1427383.0,10622.0,14661.0,30869.0,11610.0,16208.0
17,Albania,2018,21804.0,1432274.0,10137.0,13909.0,28934.0,11667.0,15025.0
18,Albania,2019,21937.0,1429088.0,10156.0,13668.0,28561.0,11781.0,14893.0
19,Albania,2020,27605.0,1422551.0,12101.0,13589.0,28075.0,15504.0,14486.0
20,Albania,2021,30507.0,,,,27211.0,,
21,Albania,2022,23998.0,,,,24688.0,,
22,Austria,2001,74767.0,4148374.0,40267.0,36900.0,75458.0,34500.0,38600.0
23,Austria,2002,76131.0,4163790.0,40965.0,38300.0,78399.0,35166.0,40100.0
24,Austria,2003,77209.0,4180324.0,41761.0,37400.0,76944.0,35448.0,39500.0
25,Austria,2004,74292.0,4203233.0,39676.0,38428.0,78968.0,34616.0,40540.0
26,Austria,2005,75189.0,4228224.0,40203.0,38312.0,78190.0,34986.0,39878.0
27,Austria,2006,74295.0,4246438.0,39538.0,38169.0,77914.0,34757.0,39745.0
28,Austria,2007,74625.0,4259211.0,39647.0,37310.0,76250.0,34978.0,38940.0
29,Austria,2008,75083.0,4271784.0,39927.0,37626.0,77752.0,35156.0,40126.0
30,Austria,2009,77381.0,4281755.0,40751.0,37272.0,76344.0,36630.0,39072.0
31,Austria,2010,77199.0,4290868.0,40507.0,38411.0,78742.0,36692.0,40331.0
32,Austria,2011,76479.0,4303135.0,39940.0,37714.0,78109.0,36539.0,40395.0
33,Austria,2012,79436.0,4319108.0,41989.0,38130.0,78952.0,37447.0,40822.0
34,Austria,2013,79526.0,4340343.0,41568.0,38377.0,79330.0,37958.0,40953.0
35,Austria,2014,78252.0,4368488.0,40828.0,39560.0,81722.0,37424.0,42162.0
36,Austria,2015,83073.0,4406224.0,43213.0,40777.0,84381.0,39860.0,43604.0
37,Austria,2016,80669.0,4444171.0,41647.0,42624.0,87675.0,39022.0,45051.0
38,Austria,2017,83270.0,4472087.0,43368.0,42380.0,87633.0,39902.0,45253.0
39,Austria,2018,83975.0,4492746.0,43124.0,41739.0,85535.0,40851.0,43796.0
40,Austria,2019,83386.0,4512017.0,42612.0,41372.0,84952.0,40774.0,43580.0
41,Austria,2020,91599.0,4529002.0,46227.0,40669.0,83603.0,45372.0,42934.0
