DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2001,3060169,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2002,3051006,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2003,3039612,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2004,3026933,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2005,3011482,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2006,2992542,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2007,2970011,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2008,2947311,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2009,2927515,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2010,2913018,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2011,2905185,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2012,2900389,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2013,2895082,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2014,2889095,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2015,2880694,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2016,2876092,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2017,2873458,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2018,2866376,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2019,2854191,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2020,2837848,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2021,2811667,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AL,2022,2777689,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2001,8042293,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2002,8081957,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2003,8121423,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2004,8171966,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2005,8227829,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2006,8268641,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2007,8295487,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2008,8321496,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2009,8343323,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2010,8363404,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2011,8391643,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2012,8429991,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2013,8479823,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2014,8546356,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2015,8642699,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2016,8736668,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2017,8797566,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2018,8840521,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2019,8879920,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2020,8916864,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2021,8955797,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,AT,2022,9041851,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2001,3801442,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2002,3821758,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2003,3833882,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2004,3839973,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2005,3842591,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2006,3843334,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2007,3843932,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2008,3843922,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2009,3844022,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2010,3843615,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2011,3841224,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2012,3837455,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2013,3833278,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2014,3828123,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2015,3670658,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2016,3512855,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2017,3505012,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BA,2018,3496157,p
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2001,10286570,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2002,10332785,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2003,10376133,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2004,10421137,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2005,10478617,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2006,10547958,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2007,10625700,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2008,10709973,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2009,10796493,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2010,10895586,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2011,11038264,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2012,11106932,b
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2013,11159407,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2014,11209057,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2015,11274196,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2016,11331422,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2017,11375158,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2018,11427054,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2019,11488980,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2020,11538604,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2021,11586195,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BE,2022,11685814,p
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2001,8009142,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2002,7837161,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2003,7775327,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2004,7716860,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2005,7658972,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2006,7601022,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2007,7545338,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2008,7492561,
ESTAT:DEMO_GIND(1.0),13/07/23 23:00:00,A,AVG,BG,2009,7444443,
